Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,35.651,6.822,36.103,10.636,4.173,142.86,269.763,282.384,55.108,42.729,0.221,0.12
1902,2.07,0.009,0.004,4.487,1.34,44.176,273.491,170.71,102.132,82.494,38.039,20.973
1903,2.443,0.022,0.004,1.267,29.432,86.975,320.13,267.051,158.364,76.718,0.221,0.12
1904,0.371,1.955,10.603,0,2.518,108.104,140.112,94.231,161.27,46.805,0.221,16.651
1905,2.83,4.913,1.255,1.425,2.935,76.385,262.943,142.003,299.864,3.005,0.66,0.12
1906,3.584,2.073,13.002,0,3.182,286.873,313.934,255.972,91.424,1.078,15.832,14.255
1907,4.205,35.313,0.006,25.011,3.121,103.125,167.044,238.171,19.223,0.747,29.482,2.862
1908,0.534,0.419,19.358,17.452,0.252,195.266,280.771,211.248,128.352,10.96,0.261,3.787
1909,3.651,5.421,2.045,9.078,33.047,156.901,199.932,129.881,111.009,2.726,0.221,87.888
1910,0.017,0,0.004,0.002,3.082,222.534,167.053,320.18,222.2,84.447,128.35,0.12
1911,10.793,0.004,2.449,0,1.546,130.925,79.565,178.856,140.445,14.541,85.027,0.12
1912,0.094,14.768,0.004,3.37,0.262,55.006,264.242,248.488,101.149,3.457,49.119,1.329
1913,0,7.965,8.238,0.656,11.666,160.832,352.306,205.613,123.402,5.376,1.911,20.494
1914,0,6.432,16.851,21.289,14.054,177.546,228.017,139.06,209.48,1.061,9.687,9.174
1915,9.145,8.896,58.865,13.39,2.633,179.608,250.489,121.552,153.396,140.628,3.064,18.717
1916,0,3.21,0.022,0.98,16.46,307.794,275.269,249.579,245.119,118.78,52.789,0.12
1917,0.177,22.657,22.201,1.482,39.964,150.281,210.24,197.958,271.185,146.782,0.221,0.12
1918,0.377,2.528,4.595,0.096,22.437,207.358,100.258,95.461,27.841,4.064,25.019,9.827
1919,34.239,6.831,5.956,4.42,14.947,253.717,216.353,192.993,145.751,57.399,49.514,0.729
1920,44.139,0,1.473,2.408,1.211,81.43,182.441,89.581,67.258,0.674,0.221,0.12
1921,9.251,0.04,0.004,0.428,0,221.476,227.001,156.916,157.093,1.028,0.221,0.12
1922,28.682,4.738,0.004,3.264,0.715,205.969,234.034,72.705,296.715,5.563,65.628,3.441
1923,1.65,1.723,26.435,5.563,6.257,17.559,428.009,166.131,183.729,6.23,0.245,1.449
1924,21.386,0.948,2.75,3.155,1.828,70.772,252.636,221.855,119.594,152.848,6.105,21.047
1925,0,0,0.878,0,22.388,117.248,201.315,198.743,45.4,8.014,91.763,7.225
1926,33.898,2.502,8.967,17.386,28.263,36.816,283.855,357.859,83.954,68.635,3.688,2.448
1927,0.053,2.394,19.513,1.332,0.671,203.177,254.252,103.743,56.741,77.539,94.038,4.34
1928,0.127,29.342,8.438,0.006,0.353,152.957,306.947,129.784,122.418,96.393,0.345,79.85
1929,3.245,12.876,0.175,6.7,0.357,203.234,245.75,87.426,177.165,16.602,0.221,9.936
1930,0.026,0.073,0.231,7.479,2.135,146.684,306.948,148.678,195.509,32.478,32.493,1.045
1931,3.934,0.435,6.545,3.444,2.391,64.854,404.284,275.139,228.838,218.439,19.263,6.689
1932,0,13.332,44.435,2.144,8.173,144.997,424.292,123.615,128.16,95.304,13.946,0.12
1933,2.129,15.468,10.556,8.608,24.258,164.706,244.233,294.455,248.126,80.507,24.827,23.157
1934,3.187,0,0.088,2.099,0.115,179.825,216.145,377.642,268.461,19.312,46.279,0.395
1935,9.787,1.564,0.004,18.126,0.533,143.759,453.497,175.417,177.568,51.326,0.321,0.762
1936,3.214,17.057,25.406,3.216,29.01,304.316,134.32,157.64,140.784,27.391,125.905,0.514
1937,0,8.294,43.733,17.937,0.191,214.881,489.68,77.136,190.199,189.991,0.245,2.353
1938,7.056,3.799,7.71,6.155,21.908,371.296,297.301,195.565,89.167,172.66,0.221,0.12
1939,1.945,1.092,39.371,1.529,0,82.406,242.144,356.763,69.726,35.511,24.803,0.792
1940,0.656,5.306,0.851,4.818,5.148,187.446,526.661,262.503,37.548,81.984,32.18,11.664
1941,17.707,8.295,18.397,9.225,0.023,52.531,324.575,187.559,104.034,2.522,0.221,0.12
1942,2,29.945,0.473,7.435,4.09,163.482,409.876,236.244,159.695,2.407,0.221,24.404
1943,39.399,0.135,0.241,1.794,20.903,113.368,209.538,77.533,207.633,157.977,0.263,0.12
1944,3.918,23.198,72.076,0.372,1.392,118.989,393.472,449.863,165.206,146.14,10.914,0.13
1945,31.699,0,0.004,8.213,1.732,118.709,305.923,193.073,178.947,15.343,0.636,1.022
1946,0,5.93,0.118,4.006,5.118,204.786,267.135,179.003,70.801,1.318,115.683,8.128
1947,36.189,7.834,16.242,6.932,2.447,86.483,285.982,287.149,145.334,12.446,0.221,19.009
1948,28.802,3.888,7.046,2.045,0.258,278.569,329.392,219.999,157.39,22.24,148.746,0.277
1949,0.034,1.094,0.004,0.46,22.519,135.849,364.261,157.643,345.842,155.072,0.431,0.12
1950,1.354,7.129,6.625,1.198,2.687,77.374,268.515,73.844,123.872,8.589,0.282,41.296
1951,6.372,0.115,13.703,4.08,4.289,169.489,195.115,209.948,111.647,167.827,0.8,0.12
1952,0,3.807,2.691,5.759,2.61,137.49,204.876,131.208,50.24,27.983,0.221,0.731
1953,0.798,0.069,0.004,6.033,1.014,93.653,221.456,292.8,146.428,31.043,0.221,0.12
1954,3.711,1.461,3.961,1.476,0.396,114.194,391.259,154.535,304.491,4.459,0.221,0.236
1955,12.695,0.044,2.795,4.458,2.84,195.028,202.197,253.267,217.623,156.03,0.221,0.12
1956,1.108,0.08,0.441,0.136,31.724,227.037,268.197,97.355,152.753,86.149,102.975,10.959
1957,3.231,0,66.677,37.412,7.95,98.21,132.17,231.493,82.975,13.22,0.681,0.176
1958,1.443,0.052,6.584,7.286,9.579,127.556,223.919,244.102,125.917,35.758,52.934,0.12
1959,3.737,0.063,0.022,12.115,4.877,138.297,350.391,241.02,318.761,108.076,10,0.12
1960,31.235,0,18.577,12.428,4.243,133.468,270.131,183.188,56.85,94.318,0.221,1.734
1961,1.146,1.816,3.784,1.957,9.367,73.643,282.896,210.036,362.324,80.155,1.358,3.042
1962,3.229,0.432,34.347,11.337,9.089,49.725,317.086,173.48,305.057,7.527,82.846,59.961
1963,1.149,10.884,4.547,7.347,15.092,129.279,176.393,208.915,141.297,87.701,4.295,0.24
1964,0,0.042,4.205,0.204,0.179,187.694,289.97,242.748,106.397,18.835,0.368,0.12
1965,15.639,2.651,5.41,21.509,1.705,112.646,192.949,160.473,106.699,4.7,0.624,2.431
